,property_id,area_id,zone_id,area_name_en,land_number,land_sub_number,building_number,common_area,actual_common_area,floors,rooms,rooms_en,car_parks,built_up_area,bld_levels,shops,flats,offices,swimming_pools,elevators,actual_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,parent_property_id,creation_date,parcel_id,is_free_hold,is_lease_hold,is_registered,master_project_id,master_project_en,project_id,project_name_en,land_type_id,land_type_en
36403,1200036818,441,2,Al Barsha South Fourth,1568,0.0,3,5.65,25.0,4.0,3.0,3 B/R,2.0,390.76,,,,,,,167.34,2,Building,4,Villa,125450,18/03/2009,6810000.0,1,0.0,1.0,9.0,Jumeirah Village Circle,361.0,INDIGO VILLE5,4.0,Commercial
36407,1200036822,441,2,Al Barsha South Fourth,1568,0.0,15,5.66,25.0,4.0,3.0,3 B/R,2.0,390.79,,,,,,,167.54,2,Building,4,Villa,125450,18/03/2009,6810000.0,1,0.0,1.0,9.0,Jumeirah Village Circle,361.0,INDIGO VILLE5,4.0,Commercial
36409,1200036824,441,2,Al Barsha South Fourth,1568,0.0,12,5.64,25.0,4.0,3.0,3 B/R,2.0,390.72,,,,,,,166.95,2,Building,4,Villa,125450,18/03/2009,6810000.0,1,0.0,1.0,9.0,Jumeirah Village Circle,361.0,INDIGO VILLE5,4.0,Commercial
36411,1200036826,441,2,Al Barsha South Fourth,1568,0.0,6,5.75,25.0,4.0,3.0,3 B/R,2.0,433.56,,,,,,,170.35,2,Building,4,Villa,125450,18/03/2009,6810000.0,1,0.0,1.0,9.0,Jumeirah Village Circle,361.0,INDIGO VILLE5,4.0,Commercial
39785,1200040319,441,2,Al Barsha South Fourth,560,0.0,4,8.37,11.0,3.0,3.0,3 B/R,2.0,408.96,,,,,,,197.64,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39786,1200040320,441,2,Al Barsha South Fourth,560,0.0,6,8.47,11.0,3.0,3.0,3 B/R,2.0,412.6,,,,,,,199.99,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39787,1200040321,441,2,Al Barsha South Fourth,560,0.0,10,16.41,22.0,3.0,4.0,4 B/R,2.0,571.74,,,,,,,387.61,2,Building,4,Villa,115756,16/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39788,1200040322,441,2,Al Barsha South Fourth,560,0.0,9,8.56,11.0,3.0,3.0,3 B/R,2.0,411.9,,,,,,,202.33,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39789,1200040323,441,2,Al Barsha South Fourth,560,0.0,5,8.46,11.0,3.0,3.0,3 B/R,2.0,412.93,,,,,,,199.9,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39790,1200040324,441,2,Al Barsha South Fourth,560,0.0,7,8.38,11.0,3.0,3.0,3 B/R,2.0,406.5,,,,,,,198.08,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39791,1200040325,441,2,Al Barsha South Fourth,560,0.0,3,8.37,11.0,3.0,3.0,3 B/R,2.0,408.79,,,,,,,197.64,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39792,1200040326,441,2,Al Barsha South Fourth,560,0.0,8,8.45,11.0,3.0,3.0,3 B/R,2.0,414.57,,,,,,,199.64,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39793,1200040327,441,2,Al Barsha South Fourth,560,0.0,1,16.18,21.0,3.0,4.0,4 B/R,3.0,557.24,,,,,,,382.35,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
39794,1200040328,441,2,Al Barsha South Fourth,560,0.0,2,8.35,11.0,3.0,3.0,3 B/R,2.0,408.77,,,,,,,197.37,2,Building,4,Villa,115756,07/04/2014,6811046.0,1,0.0,1.0,9.0,Jumeirah Village Circle,12087329.0,SHAMAL TERRACES 3,4.0,Commercial
40365,1200040995,463,2,Wadi Al Safa 7,1623,0.0,PA0216-86,177.02,177.0,3.0,4.0,4 B/R,2.0,350.38,,,,,,,215.25,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40369,1200040999,463,2,Wadi Al Safa 7,1623,0.0,PA0209-49,180.24,180.0,3.0,4.0,4 B/R,2.0,356.77,,,,,,,216.59,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40373,1200041003,463,2,Wadi Al Safa 7,1623,0.0,PA0211-62,158.44,158.0,3.0,3.0,3 B/R,2.0,313.62,,,,,,,195.92,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40409,1200041039,463,2,Wadi Al Safa 7,1623,0.0,PA0215-83,157.88,158.0,3.0,3.0,3 B/R,2.0,312.51,,,,,,,193.98,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40417,1200041047,463,2,Wadi Al Safa 7,1623,0.0,PA0216-87,177.02,177.0,3.0,4.0,4 B/R,2.0,350.38,,,,,,,216.87,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40421,1200041051,463,2,Wadi Al Safa 7,1623,0.0,PA0210-56,177.02,177.0,3.0,4.0,4 B/R,2.0,350.38,,,,,,,214.5,2,Building,4,Villa,10636485,21/07/2014,6655408.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40554,1200041184,463,2,Wadi Al Safa 7,1622,0.0,PA0601-02,184.7,185.0,3.0,4.0,4 B/R,2.0,350.39,,,,,,,214.49,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40555,1200041185,463,2,Wadi Al Safa 7,1622,0.0,PA0610-54,186.41,186.0,3.0,4.0,4 B/R,2.0,351.78,,,,,,,216.48,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40556,1200041186,463,2,Wadi Al Safa 7,1622,0.0,PA0605-24,186.89,187.0,3.0,4.0,4 B/R,2.0,356.39,,,,,,,217.03,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40557,1200041187,463,2,Wadi Al Safa 7,1622,0.0,PA0613-69,185.46,185.0,3.0,4.0,4 B/R,2.0,350.76,,,,,,,215.37,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40558,1200041188,463,2,Wadi Al Safa 7,1622,0.0,PA0615-83,167.2,167.0,3.0,3.0,3 B/R,2.0,312.51,,,,,,,194.17,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40559,1200041189,463,2,Wadi Al Safa 7,1622,0.0,PA0611-60,166.05,166.0,3.0,3.0,3 B/R,2.0,312.87,,,,,,,192.83,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40560,1200041190,463,2,Wadi Al Safa 7,1622,0.0,PA0603-15,168.6,169.0,3.0,3.0,3 B/R,2.0,317.38,,,,,,,195.79,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40561,1200041191,463,2,Wadi Al Safa 7,1622,0.0,PA0613-71,186.31,186.0,3.0,4.0,4 B/R,2.0,356.38,,,,,,,216.36,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40562,1200041192,463,2,Wadi Al Safa 7,1622,0.0,PA0615-80,166.63,167.0,3.0,3.0,3 B/R,2.0,309.19,,,,,,,193.51,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40563,1200041193,463,2,Wadi Al Safa 7,1622,0.0,PA0606-32,167.31,167.0,3.0,3.0,3 B/R,2.0,312.13,,,,,,,194.3,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40564,1200041194,463,2,Wadi Al Safa 7,1622,0.0,PA0615-82,168.78,169.0,3.0,3.0,3 B/R,2.0,317.38,,,,,,,196.0,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40565,1200041195,463,2,Wadi Al Safa 7,1622,0.0,PA0614-78,186.88,187.0,3.0,3.0,3 B/R,2.0,352.1,,,,,,,217.02,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40566,1200041196,463,2,Wadi Al Safa 7,1622,0.0,PA0609-47,167.34,167.0,3.0,3.0,3 B/R,2.0,311.72,,,,,,,194.33,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40567,1200041197,463,2,Wadi Al Safa 7,1622,0.0,PA0603-17,186.72,187.0,3.0,4.0,4 B/R,2.0,351.66,,,,,,,216.84,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40568,1200041198,463,2,Wadi Al Safa 7,1622,0.0,PA0602-11,168.9,169.0,3.0,3.0,3 B/R,2.0,313.24,,,,,,,196.14,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40569,1200041199,463,2,Wadi Al Safa 7,1622,0.0,PA0608-40,168.78,169.0,3.0,3.0,3 B/R,2.0,313.98,,,,,,,196.0,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40570,1200041200,463,2,Wadi Al Safa 7,1622,0.0,PA0609-46,186.15,186.0,3.0,4.0,4 B/R,2.0,356.4,,,,,,,216.17,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
40571,1200041201,463,2,Wadi Al Safa 7,1622,0.0,PA0608-44,185.21,185.0,3.0,4.0,4 B/R,2.0,351.88,,,,,,,215.08,2,Building,4,Villa,10636483,21/07/2014,6655405.0,1,0.0,1.0,128.0,558 Villa,10621292.0,THE SUSTAINABLE CITY,4.0,Commercial
